id,asins,brand,categories,dateAdded,dateUpdated,ean,features.key,features.value,manufacturer,manufacturerNumber,name,sizes,upc,weight
AVpgNvQjilAPnD_xpKsf,,Badia,"Food,Grocery",2017-01-12T05:51:52Z,2017-01-12T05:51:52Z,33844000288,Ingredients,"Anise Seed Used mainly to add flavor to cordials and liqueurs*NEWLINE*,Used in France to seasoning fish,soup,seafood and shellfish*NEWLINE*,Used in India on vegetables and seafood dishes*NEWLINE*,One of the most delicate herb plants related to dill,fennel and cumin*NEWLINE*,Gluten free",Badia Spices Inc.,450028N,"Badia Anise Seed, .5 Oz",,33844000288,
AVpgdOSALJeJML43OJcw,,Tones,"Food,Grocery",2016-11-07T00:19:22Z,2016-11-07T00:19:22Z,41351534448,Ingredients,"Garlic Powder. 1/4 teaspoon garlic powder = 1 medium garlic clove,Since 1873",Tone's,53444,"Tone's Garlic Powder, 2.88 Oz",,41351534448,
AVpe5hIz1cnluZ0-ZVZx,B004DEBV2K,Ferrara Candy Company,"Food,grocery",2016-10-17T16:32:19Z,2016-10-17T16:32:19Z,20709012081,Ingredients,"Sugar,Corn Syrup,Gelatin,Citric Acid,Lactic Acid,Fumaric Acid,Maltodextrin,Confectioner's Glaze,Acacia (Gum Arabic),Natural and Artificial Flavors,Calcium Lactate,Sodium Lactate,Titanium Dioxide [Color],Carnauba Wax (Adds a Trivial Amount of Fat),Beeswax (Adds a Trivial Amount of Fat),Red 40,Yellow 5,Yellow 6,Blue 1,Sodium Citrate.",TROLLI,,"Trolli Sour Brite Eggs, 4.0 Ounce Bags, (pack of 12)",,20709012081,
AVphYBTPLJeJML43aJwm,B001SAVWHQ,Cornnuts,"Food,Grocery",2015-10-31T07:19:33Z,2016-07-22T18:32:17Z,71159073115,Ingredients,"CORN,PARTIALLY HYDROGENATED SOYBEAN AND/OR CANOLA OIL,SALT,BUTTERMILK,TOMATO AND ONION AND GARLIC POWDERS,MONOSODIUM GLUTAMATE (FLAVOR ENHANCER),CORN SYRUP SOLIDS,SUGAR,CHEDDAR CHEESE (MADE FROM CULTURED MILK, SALT AND ENZYMES),NATURAL AND ARTIFICIAL FLAVOR,LACTIC AND MALIC ACIDS (FOR TARTNESS),SPICES,SODIUM DIACETATE (FOR TARTNESS),PARSLEY FLAKES,SODIUM CITRATE,DISODIUM PHOSPHATE,ARTIFICIAL COLOR (INCLUDES RED 40 LAKE),CITRIC ACID,DISODIUM INOSINATE AND DISODIUM GUANYLATE (FLAVOR ENHANCERS),SODIUM CASEINATE,MONO- AND DIGLYCERIDES (EMULSIFIER),DEGERMED YELLOW CORN MEAL,SOYBEAN OIL.",Kraft,4.05E+12,Cornnuts Ranch Bag,,71159073115,
AVpfnWvJ1cnluZ0-oC8I,B008KAM0XM,Planters,"Food,grocery",2017-01-23T05:31:29Z,2017-01-23T05:31:29Z,29000017191,Ingredients,"Pistachios,Almonds,Cashews,Peanut and/or Cottonseed Oil,Sea Salt. Contains: Pistachio,Almond,Cashew. Manufactured on equipment that processes peanut,other tree nuts.",PLANTERS/DIV OF KRAFT FOODS INC,,Planters Pistachio Lovers Mix 18.5 Oz. Canister,,29000017191,
AVpi2uk2ilAPnD_xIIKs,,Bob Evans,"Food,Grocery",2017-01-07T20:21:06Z,2017-01-07T20:21:06Z,75900005318,Ingredients,"Cooked Enriched Pasta (Water, Elbow Macaroni (Semolina (Wheat), Niacin, Iron (Ferrous Sulfate), Thiamin Mononitrate, Riboflavin, Folic Acid)),Milk,Water,Pasteurized Process Cheese Spread (American Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes), Water, Whey, Sodium Phosphate and/or Whey Protein Concentrate, Skim Milk, Contains Less Than 2 of the Following: Milkfat, Salt, Sodium-Alginate, Lactic Acid, Artificial Color, Apocaratenal (Color)),Cheese (Cheddar Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes), Water, Salt, Annatto (Color)),Margarine (Liquid Soybean Oil, Water, Salt, Hydrogenated Cottonseed Oil, Soy Lecithin, Vegetable Mono and Diglycerides, Artificial Flavor, Vitamin A Palmitate),Contains Less Than 2 of the Following: Modified Food Starch,Salt.","BEF Foods, Inc.",531,Bob Evans‹¨«‹¨« Tasteful Sides‹¨«‹¨«‹¨« Macaroni & Cheese 28 Oz. Tray,,75900005318,
AVpfmWllLJeJML43AM-4,,Tone's,"Food,Grocery",2016-11-06T22:30:35Z,2016-11-06T22:30:35Z,41351517588,Ingredients,Cumin Ground,Ach Food Companies,,Ground Cumin,,41351517588,
AVpiUbKnLJeJML43khxs,,Nature's Path,"Food,Grocery",2017-01-23T05:30:48Z,2017-01-23T05:30:48Z,58449771838,Ingredients,"Rolled Oats*,Cane Sugar*,Soy Oil*,Dried Coconut*,White Chocolate Chunks* (Cane Sugar*, Cocoa Butter*, Whole Milk Powder*, Soy Lecithin*, (Non-GMO), Vanilla Extract*, Ground Vanilla*),Freeze-Dried Pineapple*,Rice Starch*,Sea Salt,Natural Flavor,Cinnamon*,Tocopherols (Vitamin E),. *Organic.","Nature's Path Foods, Inc.",1085356,"Nature's Path Organic Love Crunch Premium Organic Granola Aloha Blend, 11.5 Oz",,58449771838,0.75 pounds
AVpgBtk-LJeJML43Htl2,,Spice Islands,"Food,Grocery",2016-11-04T03:05:42Z,2016-11-04T03:05:42Z,40100003853,Ingredients,Garlic Powder,Spice Island,4010000385,"Spice Islands: Powder Garlic, 2.25 Oz",,40100003853,
AVpgOvPvLJeJML43K38h,,Kernel Season's,"Food,Grocery",2016-11-10T09:27:38Z,2016-11-10T09:27:38Z,6.70E+11,Ingredients,"Sugar,Brown Sugar,Natural Flavor,Caramel Color,and Not More than 2% Silicon Dioxide,Tricalcium Phosphate and Soybean Oil Added to Prevent Caking.",KERNEL SEASON'S LLC,,Kernel Season's - All Natural Popcorn Seasoning Caramel - 3 Oz.,,6.70E+11,
AVpf9hxh1cnluZ0-uLiC,,Iberia,"Food,Grocery",2016-11-07T00:18:40Z,2016-11-07T00:18:40Z,75669108411,Ingredients,"Garlic,Water,Citric Acid,Sodium Benzoate.",iberia foods corp.,10841,"Iberia Minced Garlic In Water, 1 Qt",,75669108411,
AVpfNqVbilAPnD_xXV_6,,Goya Food,"Food,Grocery",2016-09-04T17:26:39Z,2016-09-24T23:06:44Z,41331032414,Ingredients,"Salt,Monosodium,Glutamate,Sugar,Hydrolyzed Soy Protein,Malto Dextrin,Dehydrated Vegetables (Onion, Garlic, Celery and Parsley),Yeast Extract,Chicken Fat,Turmeric,Chicken Meat,Caramel Color,Natural Flavor,Disodium Inosinate and Guanylate,Silica (Anticaking Agent),.","GOYA FOODS, INC.",3241,"Goya Chicken Bouillon, 2.82 Oz",,41331032414,
